name;id;url;promo_price;regular_price;manufacturer
Вода Байкальская питьевая негазированная, 500мл;594415;/products/05-l-voda-bajkalskaya-n-g-prirpit;54.9;54.9;БАЙКАЛЬСКАЯ
Вода Аштау минеральная Скважина 6-к природная газированная, 1л;484137391;/products/1l-min-voda-ash-tau-skvazhina-6-k-prirodnaya-gaz-pet-213512;62.9;74.9;АШТАУ
Вода детская Fleur Alpine с рождения негазированная, 1л;304132671;/products/1l-voda-detskaya-pitevaya-fleur-alpin-s-rozhdeniya-pet-206023;222;222;FLEUR ALPINE
Вода Baikal Pearl без газа, 750мл;607470651;/products/075l-voda-zhemchuzhina-baykala-bg-st-241848;192;192;BAIKAL PEARL
Вода Святой Источник со вкусом персика негазированная, 1.5л;492086881;/products/15l-voda-svyatoy-istochnik-so-vkusom-persika-bg-pet-214958;74.9;82.9;СВЯТОЙ ИСТОЧНИК
Вода Fahrenheit негазированная, 1л;594140403;/products/1l-voda-fahrenheit-bg-pet-221433;79.9;118;FAHRENHEIT
Напиток соковый Святой Источник Цитрус газированный, 1.5л;607441287;/products/15l-sok-nap-svyatoy-istochnik-limontsitrus-gaz-pet;106;106;СВЯТОЙ ИСТОЧНИК
RIOBA Вода негазированная, 750мл;481116;/products/rioba-negazirovannaya-075-l;78.9;78.9;RIOBA
aro Вода минеральная питьевая газированная, 500мл;195240;/products/aro-mineralnaya-stolovaya-gazirovannaya-12h05-l;18.1;18.1;ARO
Вода BonaAqua негазированная, 1л;147349456;/products/1l-voda-bona-aqua-bg-pet;59.9;73.9;BONAAQUA
Вода Святой Источник негазированная клубника, 1.5л;642785;/products/svyatoj-istochnik-negazirovannaya-klubnika-15l;74.9;82.9;СВЯТОЙ ИСТОЧНИК
Вода Aqua Minerale Active питьевая цитрус негазированная, 500мл;568256;/products/mineralnaya-aqua-minerale-citrus-05-l;74.9;78.9;AQUA MINERALE
Вода Svetla негазированная, 1.5л;604924951;/products/voda-svetla-bez-gaza-15l;95.9;95.9;SVETLA
